dataset,seed,condition,subgroup,all_gene_mse_v1,all_gene_mse_v2,relative_all_gene_mse_gain,top100_mse_v1,top100_mse_v2,relative_top100_mse_gain,top100_pcc_v1,top100_pcc_v2,top100_pcc_delta
Schmidt,1,TNFRSF1B+TRAF3IP2,combo_seen1,0.00747577726476415,0.007604825046228557,-0.017262122304345907,0.023455853977768792,0.00629622813299334,0.731571140451299,0.30388982592285974,0.9524117518413855,0.6485219259185258
Schmidt,1,TNFRSF12A+TRAF3IP2,combo_seen1,0.009722827585228877,0.008821057717542588,0.09274769708518507,0.009405331836610584,0.009132641973579155,0.028993114519359542,0.14155401780266774,0.22273541967660554,0.0811814018739378
Schmidt,1,TRAF3IP2+TRIM21,combo_seen1,0.00850345224843561,0.008298835690647119,0.02406276319434092,0.007141369946098991,0.007439952333674923,-0.04181023946799378,0.08702442856045181,0.14537124852841093,0.058346819967959124
Schmidt,1,TRAF3IP2+VAV1,combo_seen1,0.007486853082875723,0.007141965686995961,0.04606573577203004,0.00394013867387663,0.004818866785601145,-0.22301959003385793,0.36639801473829353,0.22291949499394983,-0.1434785197443437
Schmidt,1,MGST3+TRIM21,combo_seen2,0.0073983428008410155,0.0073983428008410155,0.0,0.013915801226442804,0.013915801226442804,0.0,0.9849158844896265,0.9849158844896265,0.0
Schmidt,1,PRKD2+TNFRSF1B,combo_seen2,0.005323817209855218,0.005323817209855218,0.0,0.00584916220599621,0.00584916220599621,0.0,0.9658749047341734,0.9658749047341734,0.0
Schmidt,1,ABCB10,unseen_single,0.001912017290692964,0.0016290556953401133,0.14799112786804255,0.05008791316926984,0.036322754381310204,0.2748199698685969,0.1899290882753883,0.5469820242026178,0.3570529359272295
Schmidt,1,CBY1,unseen_single,0.000553414107256523,0.0006880339230295409,-0.2432533143045048,0.004725631473834709,0.013603074313781374,-1.8785728191248232,0.4648836567157602,0.1747083921511921,-0.2901752645645681
Schmidt,1,EMP3,unseen_single,0.0007942325578774678,0.0009101372992554223,-0.14593300190022676,0.02384217890457357,0.011778278758425681,0.5059898340010237,0.17484582044751068,0.7555019342155012,0.5806561137679904
Schmidt,1,EOMES,unseen_single,0.010840545950359834,0.00973090616112096,0.1023601389007573,0.28553662273763036,0.2312605840201416,0.19008433383118467,0.5392274342629054,0.6462497034994654,0.10702226923656
Schmidt,1,FOSL1,unseen_single,0.0030375042398160276,0.0026877801713107038,0.11513533509553409,0.07900275866522252,0.0673467480063786,0.1475392866752508,0.4682714580020862,0.5103793271186811,0.042107869116594865
Schmidt,1,FOXD2,unseen_single,0.0038525915082532687,0.003580548638791318,0.07061295465121678,0.09502783312435223,0.08028087444156273,0.1551856776897334,0.5755758159012482,0.5528144866121955,-0.022761329289052723
Schmidt,1,IKZF3,unseen_single,0.0026248686625643357,0.0028418634605742446,-0.08266882115081456,0.061779102790157074,0.06176646720744897,0.0002045284268860263,0.17825254695191364,0.41304044960613007,0.23478790265421642
Schmidt,1,INPPL1,unseen_single,0.0033615113813930215,0.003292772363685826,0.02044884276985842,0.07732209506824264,0.07601006773135249,0.016968336614937605,-0.1608232591452969,0.14709034814428715,0.30791360728958406
Schmidt,1,TRAF3IP2,unseen_single,0.001675460717371648,0.0012512794878718014,0.2531728885683897,0.042614901722096275,0.019938894012959788,0.5321145137682844,0.5322139790276836,0.8299220563774063,0.2977080773497227
Schmidt,1,CBY1+EMP3,combo_seen0,0.006553734966612121,0.006164162198500559,0.05944286274868203,0.03133431096447438,0.007665744648472755,0.755356208178189,-0.2494847474523822,0.9868344467097315,1.2363191941621137
Schmidt,1,EMP3+TRAF3IP2,combo_seen0,0.010280106048772724,0.010036833871579408,0.023664364554134076,0.02960632243674977,0.01139275767690355,0.6151917313863361,-0.2255005330615136,0.8434094746519403,1.068910007713454
Schmidt,2,ARHGDIB+TNFRSF1A,combo_seen1,0.018915247911064314,0.017340627112533535,0.08324610948449253,0.025376298975447225,0.023547953661482567,0.07204932901104567,0.9346710668549134,0.9459861013494398,0.011315034494526421
Schmidt,2,CBY1+EMP3,combo_seen1,0.006156269039101439,0.005856043511760413,0.04876744752936378,0.028838469616695898,0.0097112741091232,0.6632527925996149,0.13892014624233373,0.9735845743148167,0.834664428072483
Schmidt,2,EMP3+LCP2,combo_seen1,0.0107054886579048,0.01013324533906444,0.053453264687532163,0.033185241464756605,0.014206406172231754,0.5719058971645801,0.6644104804551233,0.9738495742829311,0.30943909382780777
Schmidt,2,EMP3+MAP4K1,combo_seen1,0.010394488098414376,0.010207849928743153,0.01795549409496109,0.011575262644812272,0.01137099285307112,0.017647097781638685,0.2880078913230736,0.28214148056650606,-0.005866410756567519
Schmidt,2,EMP3+PRKD2,combo_seen1,0.007368171687253499,0.007120426573302147,0.03362368908693265,0.023372251592954578,0.007451231212023231,0.6811932653390844,-0.08070038291121943,0.9671226963725484,1.047823079283768
Schmidt,2,EMP3+TBX21,combo_seen1,0.008584642182460798,0.008043379929845145,0.06305006558357212,0.054641172408144624,0.025728902530306148,0.5291297496671011,0.4763232403628209,0.9432783207956422,0.4669550804328213
Schmidt,2,EMP3+TNFRSF1B,combo_seen1,0.004356591294310774,0.0039378836776547575,0.09610899631618003,0.02892114713402748,0.00890910377571127,0.6919519224315563,0.7411673014323528,0.9858738946001193,0.24470659316776655
Schmidt,2,EMP3+TRAF3IP2,combo_seen1,0.008326695545214851,0.007773945407157609,0.06638289283614965,0.027402936568170482,0.008994480450307034,0.6717694679206588,-0.12625883376527633,0.964564614415441,1.0908234481807173
Schmidt,2,EMP3+VAV1,combo_seen1,0.012411800933626371,0.011962575091762712,0.03619344559793941,0.03130871187535176,0.01347394212487875,0.5696423992618391,-0.23344015443266042,0.9265285597153234,1.159968714147984
Schmidt,2,FOXQ1+TNFRSF1A,combo_seen1,0.014878367564346281,0.013065689105637525,0.12183315480473554,0.02528246322746174,0.02299620602652378,0.09042857811633762,0.2698545709981221,0.31636281407235706,0.046508243074234956
