i,j,component,pair_type,component_status,unsupported_truth,seed,seen_category,train_edges,global_nullity,endpoint_degree_sum,null_projection,regularized_variance,cosine,nmse,catastrophic
58,65,4,cross,witnessed,0,3,seen2,380,4,12,0.0,0.36209150808745993,0.9978263014703338,0.004552620860090566,0
59,66,4,cross,witnessed,0,3,seen2,380,4,12,0.0,0.3620915080874598,0.9975001687668825,0.00499645671156031,0
58,59,4,within,witnessed,0,3,seen2,380,4,12,0.0,1.619553253141608,0.9993979364689143,0.001204599563342634,0
65,66,4,within,witnessed,0,3,seen2,380,4,12,0.0,1.51194989568156,0.9994089552640583,0.0011818276737106997,0
72,79,5,cross,witnessed,0,3,seen2,380,4,12,0.0,0.3620915080874598,0.9981390289762826,0.003718610086630362,0
73,80,5,cross,witnessed,0,3,seen2,380,4,12,0.0,0.3620915080874598,0.998067076284335,0.0039035436942649127,0
72,73,5,within,witnessed,0,3,seen2,380,4,12,0.0,1.6195532531416061,0.9995791105221394,0.0008790892935826388,0
79,80,5,within,witnessed,0,3,seen2,380,4,12,0.0,1.5119498956815585,0.9996058781511585,0.0007962343883489658,0
86,93,6,cross,witnessed,0,3,seen2,380,4,12,0.0,0.36209150808746,0.9977272844694614,0.0047377416454991664,0
87,94,6,cross,witnessed,0,3,seen2,380,4,12,0.0,0.36209150808746,0.9983058868156766,0.004112700720085619,0
86,87,6,within,witnessed,0,3,seen2,380,4,12,0.0,1.619553253141608,0.9994900971371942,0.001029436997264168,0
93,94,6,within,witnessed,0,3,seen2,380,4,12,0.0,1.5119498956815596,0.9995452977328042,0.0009108734400283332,0
100,107,7,cross,unwitnessed,0,3,seen2,380,4,12,1.2480026039629288e-31,0.3620940524716616,0.9979856424414768,0.004100972503109964,0
101,108,7,cross,unwitnessed,0,3,seen2,380,4,12,2.465190328815662e-32,0.3620940524716474,0.9980425443578076,0.003916526632146357,0
100,101,7,within,unwitnessed,1,3,seen2,380,4,12,0.14285714285714274,285.97844599987144,0.231400110769109,0.949060463516216,1
107,108,7,within,unwitnessed,1,3,seen2,380,4,12,0.14285714285714288,285.9784459998714,-0.008193447508997828,1.0651770835343732,1
2,9,0,cross,unwitnessed,0,4,seen2,380,4,12,0.0,0.3620940524716474,0.9977815348135178,0.004728803630913292,0
3,10,0,cross,unwitnessed,0,4,seen2,380,4,12,3.8518598887744717e-32,0.3620940524716616,0.9976936764762486,0.004618496995857204,0
2,3,0,within,unwitnessed,1,4,seen2,380,4,12,0.14285714285714293,285.9784459998442,0.21459405261413989,0.9570216576541984,1
9,10,0,within,unwitnessed,1,4,seen2,380,4,12,0.14285714285714274,285.9784459998443,0.014816433732475787,1.0202375187820176,1
16,23,1,cross,witnessed,0,4,seen2,380,4,12,0.0,0.3620915080874599,0.9972242670165037,0.005697120735244172,0
17,24,1,cross,witnessed,0,4,seen2,380,4,12,0.0,0.36209150808745993,0.9971264688346428,0.005769268491831424,0
16,17,1,within,witnessed,0,4,seen2,380,4,12,0.0,1.619553253141607,0.9996265422896089,0.0007628569515038493,0
23,24,1,within,witnessed,0,4,seen2,380,4,12,0.0,1.5119498956815591,0.9995729240595447,0.0008753889040616217,0
30,37,2,cross,witnessed,0,4,seen2,380,4,12,0.0,0.3620915080874599,0.9978236432163651,0.00436778133719346,0
31,38,2,cross,witnessed,0,4,seen2,380,4,12,0.0,0.3620915080874599,0.9978762918380284,0.004255404132778847,0
30,31,2,within,witnessed,0,4,seen2,380,4,12,0.0,1.619553253141607,0.9995632235289986,0.0008955830542964797,0
37,38,2,within,witnessed,0,4,seen2,380,4,12,0.0,1.5119498956815591,0.9996569487168493,0.0006910322294224875,0
44,51,3,cross,unwitnessed,0,4,seen2,380,4,12,3.8518598887744717e-32,0.3620940524716616,0.9978926585765087,0.004260940453413394,0
45,52,3,cross,unwitnessed,0,4,seen2,380,4,12,0.0,0.3620940524716474,0.9967168862760286,0.007241135218921999,0
44,45,3,within,unwitnessed,1,4,seen2,380,4,12,0.14285714285714274,285.97844599987144,0.4903087633570255,0.8505199633416588,1
51,52,3,within,unwitnessed,1,4,seen2,380,4,12,0.14285714285714288,285.9784459998714,0.15246363860797166,0.9775316844822018,1
58,65,4,cross,unwitnessed,0,4,seen2,380,4,12,0.0,0.3620940524716616,0.9981811644328744,0.003740828940391053,0
59,66,4,cross,unwitnessed,0,4,seen2,380,4,12,3.8518598887744717e-32,0.3620940524716758,0.9981471732267752,0.003705017433195301,0
58,59,4,within,unwitnessed,1,4,seen2,380,4,12,0.14285714285714293,285.9784459998442,0.16450090548621407,0.9853555798528333,1
65,66,4,within,unwitnessed,1,4,seen2,380,4,12,0.14285714285714274,285.97844599984427,0.15772701184567967,0.9769862302684513,1
72,79,5,cross,witnessed,0,4,seen2,380,4,12,0.0,0.3620915080874598,0.9977383030134762,0.004562671653072158,0
73,80,5,cross,witnessed,0,4,seen2,380,4,12,0.0,0.3620915080874598,0.9972991955843644,0.0054012943831045325,0
72,73,5,within,witnessed,0,4,seen2,380,4,12,0.0,1.6195532531416061,0.9995747746484288,0.0008740464863815186,0
79,80,5,within,witnessed,0,4,seen2,380,4,12,0.0,1.5119498956815585,0.9995791493476741,0.0008482069138522804,0
86,93,6,cross,unwitnessed,0,4,seen2,380,4,12,1.5407439555097887e-33,0.3620940524716616,0.9975870591120362,0.0048206800931540564,0
87,94,6,cross,unwitnessed,0,4,seen2,380,4,12,2.465190328815662e-32,0.3620940524716474,0.9978946837572985,0.00438745532772585,0
86,87,6,within,unwitnessed,1,4,seen2,380,4,12,0.14285714285714293,285.97844599987144,0.2558022974950666,0.9361738704921949,1
93,94,6,within,unwitnessed,1,4,seen2,380,4,12,0.14285714285714288,285.9784459998714,-0.08140848044285992,1.077140655969668,1
100,107,7,cross,witnessed,0,4,seen2,380,4,12,0.0,0.36209150808745993,0.9983743031457932,0.0032775279471500295,0
101,108,7,cross,witnessed,0,4,seen2,380,4,12,0.0,0.36209150808745993,0.9966293267409672,0.0067518997134665415,0
