dataset,seed,condition,subgroup,correction_active,all_gene_mse_v13,all_gene_mse_v14,relative_all_gene_mse_gain,top100_mse_v13,top100_mse_v14,relative_top100_mse_gain,top100_pcc_v13,top100_pcc_v14,top100_pcc_delta
Norman,2,BAK1+BCL2L11,combo_seen1,True,0.0014623446473816146,0.001458179673275379,0.0028481480844431495,0.00384941398683733,0.00384941398683733,0.0,0.5567074865062526,0.5567074865062526,0.0
Norman,2,BAK1+KLF1,combo_seen1,True,0.0007476994131851551,0.0007496916424366329,-0.0026644788217647136,0.007085553459265914,0.007185662979152672,-0.014128680344065822,0.9602492817151753,0.9595981201272831,-0.0006511615878922461
Norman,2,BAK1+TMSB4X,combo_seen1,True,0.0010517038366164445,0.0010528051074555095,-0.0010471301907655428,0.0037984515101389315,0.0038537903698019414,-0.014568794550963167,0.9637843994151857,0.9631508519948634,-0.0006335474203222891
Norman,2,BPGM+SAMD1,combo_seen1,True,0.001578541313332526,0.0015781119834227188,0.00027197888720499787,0.027773471073929804,0.02775189724596199,0.0007767782395792635,0.9315607849987768,0.9314757675541019,-8.501744467492856e-05
Norman,2,BPGM+ZBTB1,combo_seen1,True,0.0010431401681624752,0.001042428197469502,0.0006825263897441863,0.018317065502867547,0.018281288975545647,0.0019531800722281836,0.9407766668973345,0.9408654037999277,8.873690259314504e-05
Norman,2,CBFA2T3+POU3F2,combo_seen1,True,0.0023672655167018197,0.002372231543634931,-0.0020977904244684643,0.02965810778501089,0.029907650638399747,-0.008413984303980989,0.8854980612091621,0.884835712099712,-0.0006623491094500666
Norman,2,CBL+CNN1,combo_seen1,True,0.006204130353528374,0.006211189279300236,-0.0011377784426866851,0.2187492587639886,0.21908856602066887,-0.0015511241436770044,0.8333851899846065,0.8339106305456656,0.0005254405610590762
Norman,2,CBL+UBASH3A,combo_seen1,True,0.0023337285162552423,0.002328006158051148,0.002452023945474314,0.018014633183290128,0.018014633183290128,0.0,0.9701946340046954,0.9701946340046954,0.0
Norman,2,CEBPA+CEBPE,combo_seen1,True,0.0016140144060153752,0.001595135649933429,0.011696770494479895,0.012787054616511372,0.01183839712339358,0.07418889819183468,0.9902400222651861,0.99113191653267,0.0008918942674838171
Norman,2,CEBPA+JUN,combo_seen1,True,0.003390116357536407,0.0033958962258764094,-0.0017049173923347524,0.015613525311335546,0.015613525311335546,0.0,0.9917935142108184,0.9917935142108184,0.0
Norman,2,CEBPB+CEBPE,combo_seen1,True,0.003495399866486787,0.003473102011760737,0.006379199970749419,0.0631692706154965,0.062048803415512506,0.017737535815541376,0.9573380011262694,0.9585451179094406,0.0012071167831712026
Norman,2,CEBPB+JUN,combo_seen1,True,0.0040103600598398355,0.004003463767481168,0.0017196192500838036,0.02813040154077655,0.027783862849753517,0.012319009756071473,0.9677842785045867,0.968143287804459,0.0003590092998723149
Norman,2,CEBPE+ETS2,combo_seen1,True,0.0029067427517319396,0.002881401187692248,0.008718199787233389,0.0801058217341582,0.0788324081411637,0.015896642284258612,0.8853738526314753,0.8881153900329418,0.002741537401466543
Norman,2,CEBPE+FOSB,combo_seen1,True,0.005949273429552725,0.005915216325489258,0.005724582079937646,0.14840947143715083,0.14669810195796162,0.011531403370801342,0.940282378702674,0.9416584381751648,0.0013760594724908648
Norman,2,CEBPE+KLF1,combo_seen1,True,0.0010431209837831437,0.0010277094726800005,0.01477442343001235,0.01631496042890757,0.015540531995974615,0.04746738040263876,0.8777628319598584,0.8841992383686406,0.00643640640878218
Norman,2,CEBPE+PTPN12,combo_seen1,True,0.0017815471959581823,0.0017606212151624614,0.011745959266864165,0.02931696614783221,0.028265435612847237,0.03586764502447428,0.7735868997274145,0.7828953284095349,0.009308428682120451
Norman,2,CEBPE+RUNX1T1,combo_seen1,True,0.0014779095940526143,0.0014563832468440742,0.014565401899524981,0.03881509894558002,0.03773339999835088,0.027867994069671623,0.848608944826316,0.8528593047903066,0.004250359963990591
Norman,2,CEBPE+SET,combo_seen1,True,0.0020595474870317544,0.0020371176220387336,0.010890676293823657,0.03020991083709144,0.029082810121192165,0.037308971945572006,0.8883110780814552,0.893522046032154,0.005210967950698864
Norman,2,CEBPE+ZC3HAV1,combo_seen1,True,0.0011136987503211867,0.0010998057770325884,0.012474624115894561,0.02020397458118163,0.01950585267342956,0.03455369164848955,0.7989387115649467,0.8058482289053666,0.006909517340419891
Norman,2,CNN1+ETS2,combo_seen1,True,0.0013618657356753178,0.001367728824003156,-0.004305188223955703,0.029426789442380932,0.0297214096308548,-0.010011971881973324,0.7063228386044728,0.7028943806717458,-0.003428457932726947
Norman,2,CNN1+MAPK1,combo_seen1,True,0.0006901431751021579,0.0006937829797631606,-0.005273984866203919,0.008903340382502225,0.00908624056671761,-0.020542872265654197,0.9521605315867759,0.9508259569794909,-0.0013345746072850329
