dataset,seed,condition,control,nir
Replogle_exp6,3,FDPS+HMGCR,mean_negative,1.0
Replogle_exp6,3,FDPS+HUS1,mean_negative,0.8484848484848485
Replogle_exp6,3,FDPS+IDI1,mean_negative,0.6363636363636364
Replogle_exp6,3,FDPS+LIG4,mean_negative,0.3939393939393939
Replogle_exp6,3,FDPS+MVD,mean_negative,0.15151515151515152
Replogle_exp6,3,FDPS+NHEJ1,mean_negative,0.42424242424242425
Replogle_exp6,3,FDPS+PMVK,mean_negative,0.7878787878787878
Replogle_exp6,3,FDPS+PRKDC,mean_negative,0.3333333333333333
Replogle_exp6,3,FDPS+RAD9A,mean_negative,0.5454545454545454
Replogle_exp6,3,FDPS+RAD17,mean_negative,0.8181818181818182
Replogle_exp6,3,FDPS+RRM1,mean_negative,0.8787878787878788
Replogle_exp6,3,FDPS+RRM2B,mean_negative,0.36363636363636365
Replogle_exp6,3,FDPS+SQLE,mean_negative,0.21212121212121213
Replogle_exp6,3,FDPS+SREBF1,mean_negative,0.7272727272727273
Replogle_exp6,3,FDPS+SREBF2,mean_negative,0.7575757575757576
Replogle_exp6,3,FDPS+TOPBP1,mean_negative,0.5757575757575758
Replogle_exp6,3,FDPS+XRCC5,mean_negative,0.09090909090909091
Replogle_exp6,3,HMGCR+SREBF2,mean_negative,0.9090909090909091
Replogle_exp6,3,HUS1+SQLE,mean_negative,0.24242424242424243
Replogle_exp6,3,HUS1+SREBF2,mean_negative,0.9696969696969697
Replogle_exp6,3,AHCYL1,mean_negative,0.6666666666666666
Replogle_exp6,3,ATR,mean_negative,0.12121212121212122
Replogle_exp6,3,FDPS,mean_negative,0.9393939393939394
Replogle_exp6,3,POLR1D,mean_negative,0.0
Replogle_exp6,3,RAD1,mean_negative,0.6060606060606061
Replogle_exp6,3,RPL15,mean_negative,0.18181818181818182
Replogle_exp6,3,XRCC6,mean_negative,0.030303030303030304
Replogle_exp6,3,AHCYL1+FDPS,mean_negative,0.45454545454545453
Replogle_exp6,3,ATR+FDPS,mean_negative,0.48484848484848486
Replogle_exp6,3,FDPS+RAD1,mean_negative,0.5151515151515151
Replogle_exp6,3,FDPS+XRCC6,mean_negative,0.06060606060606061
Replogle_exp6,3,ATM+FDPS,control_negative,0.30303030303030304
Replogle_exp6,3,CHEK1+FDPS,control_negative,0.24242424242424243
Replogle_exp6,3,ETAA1+FDPS,control_negative,0.6363636363636364
Replogle_exp6,3,FDPS+HMGCR,control_negative,0.9696969696969697
Replogle_exp6,3,FDPS+HUS1,control_negative,0.5757575757575758
Replogle_exp6,3,FDPS+IDI1,control_negative,0.3939393939393939
Replogle_exp6,3,FDPS+LIG4,control_negative,0.42424242424242425
Replogle_exp6,3,FDPS+MVD,control_negative,0.12121212121212122
Replogle_exp6,3,FDPS+NHEJ1,control_negative,0.5151515151515151
Replogle_exp6,3,FDPS+PMVK,control_negative,0.9090909090909091
Replogle_exp6,3,FDPS+PRKDC,control_negative,0.45454545454545453
Replogle_exp6,3,FDPS+RAD9A,control_negative,0.36363636363636365
Replogle_exp6,3,FDPS+RAD17,control_negative,0.7878787878787878
Replogle_exp6,3,FDPS+RRM1,control_negative,0.7575757575757576
Replogle_exp6,3,FDPS+RRM2B,control_negative,0.3333333333333333
Replogle_exp6,3,FDPS+SQLE,control_negative,0.18181818181818182
Replogle_exp6,3,FDPS+SREBF1,control_negative,0.48484848484848486
Replogle_exp6,3,FDPS+SREBF2,control_negative,0.8181818181818182
Replogle_exp6,3,FDPS+TOPBP1,control_negative,0.696969696969697
Replogle_exp6,3,FDPS+XRCC5,control_negative,0.09090909090909091
Replogle_exp6,3,HMGCR+SREBF2,control_negative,0.9393939393939394
Replogle_exp6,3,HUS1+SQLE,control_negative,0.21212121212121213
Replogle_exp6,3,HUS1+SREBF2,control_negative,1.0
Replogle_exp6,3,AHCYL1,control_negative,0.8787878787878788
Replogle_exp6,3,ATR,control_negative,0.15151515151515152
Replogle_exp6,3,FDPS,control_negative,0.6666666666666666
Replogle_exp6,3,POLR1D,control_negative,0.0
Replogle_exp6,3,RAD1,control_negative,0.8484848484848485
Replogle_exp6,3,RPL15,control_negative,0.2727272727272727
Replogle_exp6,3,XRCC6,control_negative,0.030303030303030304
Replogle_exp6,3,AHCYL1+FDPS,control_negative,0.7272727272727273
Replogle_exp6,3,ATR+FDPS,control_negative,0.5454545454545454
Replogle_exp6,3,FDPS+RAD1,control_negative,0.6060606060606061
Replogle_exp6,3,FDPS+XRCC6,control_negative,0.06060606060606061
Replogle_exp6,3,ATM+FDPS,technical_duplicate,0.36363636363636365
