dataset,seed,condition,subgroup,method,wmse,weighted_r2_deltapert,mse,r2_deltapert,pearson_deltactrl
Norman,1,CBFA2T3+FEV,combo_seen1,trainMean,0.2953634467175652,-0.035729696849939874,0.015602866535615292,0.05505365724817657,0.5862963557692435
Norman,1,CBFA2T3+FEV,combo_seen1,baseControl,0.35228400593519826,-0.23532891672016953,0.022213649483329902,-0.3453109267152852,
Norman,1,CBL+PTPN9,combo_seen1,WitnessCell_v14,0.012837981608752111,0.6634921385899276,0.0011451402679355355,0.538448021812961,0.8507598874859932
Norman,1,CBL+PTPN9,combo_seen1,WitnessCell_v13,0.012810412425125955,0.6642147792125419,0.0011431857515997155,0.5392357950722343,0.851031600632039
Norman,1,CBL+PTPN9,combo_seen1,trainMean,0.01615394310230141,0.5765744949354367,0.0013586275393820063,0.4524013817524275,0.8218211785720044
Norman,1,CBL+PTPN9,combo_seen1,baseControl,0.05376619876936708,-0.40931410524019696,0.004149039568878863,-0.6722819677319571,
Norman,1,CBL+TGFBR2,combo_seen1,WitnessCell_v14,0.040071036067435714,0.26703990569664127,0.0021075438069785646,0.2228014093581543,0.6338901433501107
Norman,1,CBL+TGFBR2,combo_seen1,WitnessCell_v13,0.04005027096126444,0.2674197310186496,0.002105519515916593,0.22354790684741355,0.6346032580363123
Norman,1,CBL+TGFBR2,combo_seen1,trainMean,0.037434438816940446,0.31526727286805045,0.002035331956405622,0.24943096187663294,0.6458129657643816
Norman,1,CBL+TGFBR2,combo_seen1,baseControl,0.06774494957576435,-0.23915799297190632,0.0034578475541003407,-0.27514988623364434,
Norman,1,CBL+UBASH3A,combo_seen1,WitnessCell_v14,0.02566604255948761,-0.06955945296420407,0.004188009738637253,-0.03887100878435801,0.521800962107044
Norman,1,CBL+UBASH3A,combo_seen1,WitnessCell_v13,0.025665413187220716,-0.06953322566188724,0.004184546710134917,-0.038011975463475345,0.5224274230628958
Norman,1,CBL+UBASH3A,combo_seen1,trainMean,0.02428682897663291,-0.012084642744442542,0.004034980726939785,-0.0009108764836265326,0.5489039683640702
Norman,1,CBL+UBASH3A,combo_seen1,baseControl,0.03215387331371082,-0.3399213794796818,0.005754676929461144,-0.4274959706475483,
Norman,1,CBL+UBASH3B,combo_seen1,WitnessCell_v14,0.08660677070325978,0.4493158566484998,0.0032183772590966588,0.41226691383531555,0.9028900678535988
Norman,1,CBL+UBASH3B,combo_seen1,WitnessCell_v13,0.08659108777842306,0.44941557561918555,0.003216462815347831,0.41261652540729854,0.9034795123607499
Norman,1,CBL+UBASH3B,combo_seen1,trainMean,0.08470963394911052,0.4613786909950067,0.0028869249206518125,0.47279602217402206,0.8756090762227703
Norman,1,CBL+UBASH3B,combo_seen1,baseControl,0.22198981224898734,-0.41150938429450945,0.008764548522955504,-0.6005628730059505,
Norman,1,CDKN1A+CDKN1B,combo_seen1,WitnessCell_v14,0.0052223166625878555,0.8220224524405326,0.0014622141494199195,0.5550207975933429,0.8823487181794475
Norman,1,CDKN1A+CDKN1B,combo_seen1,WitnessCell_v13,0.005223640889603354,0.8219773225313644,0.0014636405600583,0.5545867140711565,0.8822507526495229
Norman,1,CDKN1A+CDKN1B,combo_seen1,trainMean,0.005384835066434543,0.8164837942513183,0.0013375865159432328,0.592947324952065,0.8897484724043235
Norman,1,CDKN1A+CDKN1B,combo_seen1,baseControl,0.04952003414189976,-0.6876522051554441,0.006018793348866685,-0.8316317516771976,
Norman,1,CDKN1A+CDKN1C,combo_seen1,WitnessCell_v14,0.005885449878438979,0.8269035969890035,0.0016197573937500708,0.5480408354546555,0.8751938422041903
Norman,1,CDKN1A+CDKN1C,combo_seen1,WitnessCell_v13,0.005818405496472143,0.8288754328894449,0.001616921944188061,0.5488320078981963,0.8750052428318054
Norman,1,CDKN1A+CDKN1C,combo_seen1,trainMean,0.006907756796031686,0.7968366260923807,0.001515018168700718,0.57726610883886,0.8780675350681317
Norman,1,CDKN1A+CDKN1C,combo_seen1,baseControl,0.053823721921672,-0.5830043333538075,0.006377538645164714,-0.7795177531191722,
Norman,1,CEBPA+KLF1,combo_seen1,WitnessCell_v14,0.00972916339363989,0.9446489363826305,0.00292730811118241,0.751926657618817,0.9387351349479256
Norman,1,CEBPA+KLF1,combo_seen1,WitnessCell_v13,0.009718880807178767,0.9447074359754869,0.0029094650820636813,0.753438756688532,0.9390042619704789
