seed,strategy,length_factor,rho,noise_ratio,inner_weighted_mse
102,estimated_witness,0.5,0.25,0.1,0.2226396548313717
102,estimated_witness,2.0,0.75,1.0,0.22284888841935924
102,estimated_witness,2.0,0.5,1.0,0.2228517510253831
102,estimated_witness,0.25,0.75,0.3,0.22361060575321812
102,estimated_witness,2.0,0.25,0.1,0.22427973790886427
102,estimated_witness,1.0,0.75,1.0,0.22488120841361905
102,estimated_witness,1.0,0.25,0.03,0.22531017847221224
102,estimated_witness,0.25,0.9,0.03,0.22598086753517607
102,estimated_witness,0.5,0.5,1.0,0.2268972202816124
102,estimated_witness,4.0,0.5,1.0,0.22753391972686973
102,estimated_witness,4.0,0.75,1.0,0.22757436488484048
102,estimated_witness,0.5,0.25,0.03,0.2277205674860894
102,estimated_witness,1.0,0.25,1.0,0.2288940585223006
102,estimated_witness,2.0,0.9,1.0,0.22891452921828162
102,estimated_witness,0.25,0.25,0.3,0.22926189899215985
102,estimated_witness,0.25,0.9,0.1,0.229672287790452
102,estimated_witness,4.0,0.25,0.3,0.23015883031909468
102,estimated_witness,0.5,0.25,1.0,0.2302207656186627
102,estimated_witness,0.5,1.0,0.3,0.2308558005465499
102,estimated_witness,2.0,0.25,1.0,0.23095048219966063
