seed,strategy,residual_mse,residual_nmse,residual_cosine,full_effect_mse,full_effect_nmse,full_effect_cosine,selected_length_factor,selected_rho,selected_noise_ratio,covariance_scale,estimated_K_diagonal,estimated_noise_variance
118,geometry_only,0.21778231976015155,1.1355093073820033,0.4320182439539706,0.2177823197764201,0.24786663601437103,0.8885433495622249,0.25,0.0,0.3,0.20552228297790162,0.0,0.061656684893370485
118,empirical_oracle,0.04745275522976233,0.24741698629924477,0.8100028530390704,0.04745275521866264,0.05400784975446294,0.9400418436401108,,,,1.0,,2.2516395030786102e-11
119,estimated_witness,0.11999907936409329,0.5284407180672817,0.6283791574278236,0.11999907935894259,0.18052914243927753,0.9126951645587285,1.0,0.75,0.1,0.2860562136232416,0.21454216021743117,0.028605621362324158
119,geometry_only,0.16512385747311367,0.7271569938330833,0.5174811580484641,0.16512385747475913,0.2484158090664741,0.8849258775679516,0.25,0.0,1.0,0.0969169073751232,0.0,0.0969169073751232
119,empirical_oracle,0.038274478765749055,0.1685495684617345,0.8620887774067764,0.03827447876103147,0.057580931995078924,0.9461572974902015,,,,1.0,,2.191791603867894e-11
120,estimated_witness,0.16457312658570425,0.5448014382017997,0.5435990787521471,0.16457312653541345,0.19605080871103803,0.8870597426414383,4.0,0.75,0.03,0.6015368741164522,0.45115265558733914,0.018046106223493563
120,geometry_only,0.2072472909035224,0.6860696183520988,0.49580828989005526,0.20724729083798624,0.2468872034415399,0.8468063924264673,0.25,0.0,0.3,0.19946528860304957,0.0,0.05983958658091487
120,empirical_oracle,0.04321437079048728,0.1430564749305092,0.8570487183345483,0.043214370779553944,0.05147992577905555,0.9476072066497793,,,,1.0,,2.050984602298413e-11
121,estimated_witness,0.17780259572544632,0.6554835786195483,0.6212646327720753,0.1778025957407448,0.18482604865487517,0.9055461606926456,4.0,0.75,0.1,0.37131374801316563,0.2784853110098742,0.03713137480131656
121,geometry_only,0.20772668876587191,0.7658011558914267,0.4892905865363734,0.2077266887820738,0.21593218551057164,0.8785946624663464,0.25,0.0,1.0,0.09280243153944802,0.0,0.09280243153944802
121,empirical_oracle,0.0510564400990255,0.1882236754257589,0.8401096084874288,0.05105644010711527,0.053073241389242264,0.9614151131396398,,,,1.0,,2.093724270900655e-11
122,estimated_witness,0.11698353508388153,0.6246634734228965,0.5705966451392719,0.1169835351100046,0.1765408659917072,0.910897794137339,4.0,0.75,0.3,0.2447825849344961,0.18358693870087206,0.07343477548034882
122,geometry_only,0.17119497628647345,0.914139314075092,0.35767483352497714,0.17119497633289077,0.25835182144921903,0.8997444505942213,0.25,0.0,1.0,0.09663505710548909,0.0,0.09663505710548909
122,empirical_oracle,0.040017976386520444,0.21368620901253316,0.8262959126740065,0.04001797640121618,0.060391474770044064,0.9506558375691562,,,,1.0,,2.261193041387897e-11
123,estimated_witness,0.21707131967162516,0.6542720881400812,0.5962493582869118,0.2170713196874573,0.24911188491458433,0.8822671710007455,2.0,0.5,0.3,0.1808308717634139,0.09041543588170695,0.054249261529024165
123,geometry_only,0.2504965739159848,0.7550187502240128,0.5104255233549856,0.2504965739122019,0.2874708357684517,0.8766189539564829,0.25,0.0,1.0,0.08901906017199954,0.0,0.08901906017199954
123,empirical_oracle,0.055294600614205096,0.16666279940369672,0.8641800216015134,0.05529460062232827,0.06345629725041588,0.9338659967491921,,,,1.0,,2.0481156443527868e-11
124,estimated_witness,0.13276290917212213,0.6146799346793118,0.49658943395025157,0.13276290920650546,0.2689853664650118,0.8840620477107091,1.0,0.75,0.1,0.27284606433330677,0.20463454824998006,0.02728460643333068
124,geometry_only,0.13696996875593923,0.6341582296812691,0.5433504660624747,0.1369699687705866,0.2775091135367508,0.8809066832026755,0.25,0.0,1.0,0.0991932640510782,0.0,0.0991932640510782
124,empirical_oracle,0.03534132512566126,0.1636270518263346,0.841990028294792,0.03534132513382555,0.07160357775600312,0.9321588005307944,,,,1.0,,2.2052696486796973e-11
125,estimated_witness,0.13046348385752005,0.5590176385054526,0.5804567125292764,0.13046348389548976,0.10670635043776448,0.9370614450006923,2.0,0.75,0.1,0.33066088191957416,0.2479956614396806,0.033066088191957416
125,geometry_only,0.14622813072264043,0.626566928175169,0.5834685988444565,0.14622813076996508,0.1196002873746542,0.940916688629183,0.25,0.0,1.0,0.09959439770453969,0.0,0.09959439770453969
125,empirical_oracle,0.05928605141745531,0.2540323735022532,0.8063983227359922,0.05928605143487873,0.048490182782097255,0.9629635573027259,,,,1.0,,2.1613143428315464e-11
126,estimated_witness,0.13524893241867988,0.6839695202562142,0.5397428006399465,0.13524893241174696,0.21068422098174427,0.8543766074449358,0.5,0.5,0.1,0.2217986764723211,0.11089933823616055,0.02217986764723211
126,geometry_only,0.18275304005907753,0.9242032960942466,0.3880849754469845,0.18275304004505616,0.2846838136712272,0.8349074341078043,0.25,0.0,1.0,0.09534623357374353,0.0,0.09534623357374353
126,empirical_oracle,0.03798875822350423,0.19211355145359243,0.822959969179485,0.03798875821905815,0.05917704331358516,0.9336269388955567,,,,1.0,,2.226632814000385e-11
127,estimated_witness,0.1327355792870061,0.5912993279337503,0.5341170508330834,0.13273557929663005,0.1948465750244628,0.9138789100129516,2.0,0.9,0.1,0.40299555011788346,0.3626959951060951,0.04029955501178835
127,geometry_only,0.133592537566254,0.595116833815055,0.5825420587334863,0.13359253758964967,0.19610453004465023,0.9203552753296736,0.25,0.0,3.0,0.046943335169015554,0.0,0.14083000550704666
127,empirical_oracle,0.04810216641145156,0.21428149727473314,0.80774794953094,0.048102166424529004,0.07061062624461036,0.9451337028079619,,,,1.0,,2.16925669408798e-11
128,estimated_witness,0.179083713235381,0.5575078570030364,0.5095987796899252,0.17908371318428248,0.21334150931593396,0.9016577094384108,4.0,0.5,0.3,0.19617770203181834,0.09808885101590917,0.058853310609545496
128,geometry_only,0.2128354430885226,0.6625808099847417,0.4735267411273653,0.21283544302986696,0.25354977202864065,0.8867384620922836,0.25,0.0,1.0,0.08935779239651744,0.0,0.08935779239651744
128,empirical_oracle,0.04619815937456297,0.1438200960047373,0.8442509666516275,0.046198159363166014,0.05503563038149528,0.9530586808672832,,,,1.0,,1.994138736523457e-11
129,estimated_witness,0.16355134924171816,0.49775969469505954,0.6373740884882603,0.16355134921674233,0.2139858025429167,0.8950009224917505,1.0,0.75,0.1,0.2573073934265472,0.1929805450699104,0.02573073934265472
129,geometry_only,0.21796895506419647,0.663376737818319,0.5017960761136167,0.21796895503229946,0.2851842066445813,0.8868013758158579,0.25,0.0,1.0,0.09084149378758286,0.0,0.09084149378758286
129,empirical_oracle,0.04597137784490553,0.13991140462541996,0.853323982388186,0.04597137783582327,0.06014760640809978,0.93435744266588,,,,1.0,,2.0264538147974154e-11
